name,meal_type,price_range,avg_price,walking_distance,sub_area,latitude,longitude,google_maps_url,rating,reviews_count,opening_hours,off_days,student_discount,special_offer,description,featured_image,recommended_items,dining_scenario
明倫蛋餅,小吃,$,50,2,文華路,24.178921,120.645314,https://www.google.com/maps/search/?api=1&query=明倫蛋餅+逢甲,4.3,2500,15:00-23:30,無,無,出示本轉盤結果，第二份現折 10 元！,皮薄 Q 彈、蛋香流溢，搭配獨特甜辣醬，是逢甲不可錯過的經典古早味！,images/minglun.png,"經典蛋餅 (雙蛋) ($50);起司蛋餅 ($55);紅茶 ($20)",外帶;排隊名店;宵夜
官芝霖大腸包小腸,小吃,$,65,3,逢甲路,24.178802,120.645155,https://www.google.com/maps/search/?api=1&query=官芝霖大腸包小腸+逢甲,4.0,1800,12:00-23:00,無,無,憑轉盤畫面，點大份享免費升級蒜味加量！,炭烤米腸外焦內軟，包入紮實多汁的香腸與酸菜、配料，滋味豐富多層次！,images/guanzhilin.png,"原味大腸包小腸 ($65);蒜味大腸包小腸 ($65)",外帶;排隊名店;小吃
極味屋日式拉麵,主食,$$,180,3,文華路,24.180211,120.644882,https://www.google.com/maps/search/?api=1&query=極味屋日式拉麵+逢甲,4.6,850,11:30-14:00;17:00-21:30,星期二,憑逢甲學生證免費加麵一次或贈溫泉蛋一顆,出示轉盤，點拉麵享「免費加麵一次」或送「溫泉蛋乙顆」！,正宗豚骨湯頭慢火熬煮 12 小時，特製細麵吸收滿滿湯頭精華，叉燒肥美炙燒香氣逼人！,images/jiwei_ramen.png,"特濃黑蒜油拉麵 ($200);黃金起司叉燒丼 ($120);日式唐揚雞 ($80)",內用;有冷氣;學生優惠;聚餐
美濃木瓜牛奶,飲料,$,60,2,慶和街,24.179124,120.646011,https://www.google.com/maps/search/?api=1&query=美濃木瓜牛奶+逢甲,4.4,1200,16:00-00:00,無,憑學生證大杯現折 5 元,憑轉盤畫面，大杯限時折抵 5 元！,精選熟透在地木瓜與香濃鮮乳黃金比例現榨，口感滑順濃意，消暑解膩首選！,https://images.unsplash.com/photo-1553530666-ba11a7da3888?auto=format&fit=crop&w=800&q=80,"招牌木瓜牛奶 ($65);綠豆沙牛奶 ($60)",外帶;消暑解膩;甜點飲料
大甲芋頭城,甜點,$,60,3,逢甲路,24.178652,120.645021,https://www.google.com/maps/search/?api=1&query=大甲芋頭城+逢甲,4.2,1900,13:30-23:30,無,無,出示本轉盤結果，買兩份芋圓折 5 元！,手工熬煮芋頭口感綿密香氣四溢，芋圓軟Q有嚼勁，逢甲在地老字號消暑首選！,images/yutou_dessert.png,"芋圓綜合冰 ($60);芋泥西米露 ($45);蜜芋頭 ($50)",外帶;甜點飲料;消暑解膩;一人食
海邊小屋,小吃,$$,110,4,文華路,24.179836,120.64491,https://www.google.com/maps/search/?api=1&query=海邊小屋+逢甲,4.6,2200,18:00-23:00,無,無,憑轉盤畫面，點大份蛤蜊加量不加價！,現點現煮的乾燒蛤蜊，顆顆飽滿多汁，鮮甜的海味在嘴裡噴發，搭配店家特製醬汁超對味！,images/seaside_clams.png,"大海原味蛤蜊 ($110);黑胡椒蛤蜊 ($110);博多豚骨蛤蜊 ($120)",外帶;排隊名店;小吃;海鮮首選
激旨燒鳥 逢甲總店,小吃,$$$,280,7,文華路,24.18123,120.64455,https://www.google.com/maps/search/?api=1&query=激旨燒鳥+逢甲,4.5,4500,17:00-00:30,無,無,憑轉盤結果消費滿 300 元即贈「雞肉串」乙串！,日式露天居酒屋氛圍，現場駐唱表演。特製醬汁串燒包裹起司或水果，創意與美味兼具！,https://images.unsplash.com/photo-1544025162-d76694265947?auto=format&fit=crop&w=800&q=80,"豬肉起司串 ($55);牛肉糯米椒串 ($60);生啤酒 ($120);雞肉串 ($45)",內用;有冷氣;宵夜;聚餐;適合小酌;現場駐唱
逢甲溫家地瓜球,小吃,$,40,2,文華路,24.17885,120.64508,https://www.google.com/maps/search/?api=1&query=溫家地瓜球+逢甲,4.1,1300,16:00-23:00,星期二,無,憑轉盤畫面買大包多送地瓜球一顆！,逢甲老字號排隊名店，堅持手工現擀現捏，剛起鍋的地瓜球外酥內 Q，帶著淡淡地瓜清香。,images/digua_ball.png,"地瓜球 (大) ($60);地瓜球 (小) ($40)",外帶;排隊名店;小吃;銅板美食
刁民酸菜魚 逢甲店,主食,$$$,380,8,福星路,24.17942,120.64182,https://www.google.com/maps/search/?api=1&query=刁民酸菜魚+逢甲,4.7,6200,11:30-02:00,無,無,出示本轉盤結果，內用免費招待特製神仙奶茶一杯！,「酸菜比魚好吃」！大盤酸菜魚淋上滾燙熱油，酸辣夠味麻香四溢，簡真是白飯殺手！,images/diaomin_suancaiyu.png,"秘製酸菜魚 (中) ($588);初戀番茄魚 (中) ($588);沙蒜牛肉 ($228);神仙奶茶 ($50)",內用;有冷氣;聚餐;排隊名店;宵夜;香辣美味
紅茶臭豆腐,小吃,$,75,3,逢甲路,24.17855,120.64625,https://www.google.com/maps/search/?api=1&query=紅茶臭豆腐+逢甲,4.3,1100,16:00-23:30,無,無,出示轉盤結果，買一份現折 5 元！,將伯爵紅茶融入豆腐發酵，油炸後外皮酥脆帶有茶香，搭配醃製泡菜與特製沾醬極具特色！,images/blacktea_tofu.png,"招牌紅茶臭豆腐 ($75);特調泡菜 ($30)",小吃;外帶;宵夜;特色美食
